100年12月臺東縣統計區三段年齡組性別人口統計_一級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=C526D22344F1DACE&n=4A2DB40EB35F337E, 100年12月臺東縣統計區三段年齡組性別人口統計_一級發布區.csv
100年12月臺東縣統計區三段年齡組性別人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=E811E52AB3BBBB86&n=4A2DB40EB35F337E, 100年12月臺東縣統計區三段年齡組性別人口統計_二級發布區.csv
100年12月臺東縣統計區三段年齡組性別人口統計_最小統計區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=5900082022C17E11&n=4A2DB40EB35F337E, 100年12月臺東縣統計區三段年齡組性別人口統計_最小統計區.csv
100年12月臺東縣統計區五歲年齡組人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=31218F193CB4FD6E&n=4A2DB40EB35F337E, 100年12月臺東縣統計區五歲年齡組人口統計_二級發布區.csv
100年12月臺東縣統計區五歲年齡組性別人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=EF7F4D028500547B&n=4A2DB40EB35F337E, 100年12月臺東縣統計區五歲年齡組性別人口統計_二級發布區.csv
100年12月臺東縣統計區分齡兒童及少年性別人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=4752B9BC22AAF612&n=4A2DB40EB35F337E, 100年12月臺東縣統計區分齡兒童及少年性別人口統計_二級發布區.csv
100年12月臺東縣統計區原住民15歲以上人口十歲年齡組婚姻狀況人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=8EAFB7495DE76778&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民15歲以上人口十歲年齡組婚姻狀況人口統計_二級發布區.csv
100年12月臺東縣統計區原住民15歲以上人口十歲年齡組教育程度人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=74963F5F05BDB4FB&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民15歲以上人口十歲年齡組教育程度人口統計_二級發布區.csv
100年12月臺東縣統計區原住民15歲以上人口十歲年齡組與性別與婚姻狀況人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=6C26BB63625DACE7&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民15歲以上人口十歲年齡組與性別與婚姻狀況人口統計_二級發布區.csv
100年12月臺東縣統計區原住民15歲以上人口十歲年齡組與性別與教育程度人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=07F0E381A7BA538F&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民15歲以上人口十歲年齡組與性別與教育程度人口統計_二級發布區.csv
100年12月臺東縣統計區原住民人口指標_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=6955A893D911FF23&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民人口指標_二級發布區.csv
100年12月臺東縣統計區原住民人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=5FFD3F069D988527&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民人口統計_二級發布區.csv
100年12月臺東縣統計區原住民十歲年齡組人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=16081B8F505ABB7B&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民十歲年齡組人口統計_二級發布區.csv
100年12月臺東縣統計區原住民十歲年齡組性別人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=7FAD35606C219599&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民十歲年齡組性別人口統計_二級發布區.csv
100年12月臺東縣統計區原住民戶數統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=5B7D022B7B2A81BA&n=4A2DB40EB35F337E, 100年12月臺東縣統計區原住民戶數統計_二級發布區.csv
100年12月臺東縣統計區醫療院所統計_一級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=AE3F84649139096C&n=4A2DB40EB35F337E, 100年12月臺東縣統計區醫療院所統計_一級發布區.csv
100年12月臺東縣統計區醫療院所統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=B0336B5483CE959C&n=4A2DB40EB35F337E, 100年12月臺東縣統計區醫療院所統計_二級發布區.csv
100年12月臺東縣統計區醫療院所統計_最小統計區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=84B52EAA56199136&n=4A2DB40EB35F337E, 100年12月臺東縣統計區醫療院所統計_最小統計區.csv
100年12月臺東縣統計區護產機構統計_一級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=6183317BB2BC675B&n=4A2DB40EB35F337E, 100年12月臺東縣統計區護產機構統計_一級發布區.csv
100年12月臺東縣統計區護產機構統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=CD06B744144B473C&n=4A2DB40EB35F337E, 100年12月臺東縣統計區護產機構統計_二級發布區.csv
100年12月臺東縣統計區護產機構統計_最小統計區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=E5B331042941AA88&n=4A2DB40EB35F337E, 100年12月臺東縣統計區護產機構統計_最小統計區.csv
100年1月臺東縣行政區案件紀錄查詢統計_鄉鎮市區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=DE9EE8A2C6B72414&n=4A2DB40EB35F337E, 100年1月臺東縣行政區案件紀錄查詢統計_鄉鎮市區.csv
100年1季行政區人口消長指標統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=C71481A4C69DE892&n=4A2DB40EB35F337E, 100年1季行政區人口消長指標統計_村里_臺東縣.csv
100年1季行政區人口消長指標統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=BD3B450373053909&n=4A2DB40EB35F337E, 100年1季行政區人口消長指標統計_鄉鎮市區_臺東縣.csv
100年1季行政區人口消長統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=052449DD01A26E24&n=4A2DB40EB35F337E, 100年1季行政區人口消長統計_村里_臺東縣.csv
100年1季行政區人口消長統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9823FDDC1781537C&n=4A2DB40EB35F337E, 100年1季行政區人口消長統計_鄉鎮市區_臺東縣.csv
100年1季行政區出生統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9DA6E7DF3CB915E3&n=4A2DB40EB35F337E, 100年1季行政區出生統計_鄉鎮市區_臺東縣.csv
100年1季行政區死亡統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=E2181666F21EDF35&n=4A2DB40EB35F337E, 100年1季行政區死亡統計_鄉鎮市區_臺東縣.csv
100年1季行政區結婚統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=B0B4247B94EF3821&n=4A2DB40EB35F337E, 100年1季行政區結婚統計_鄉鎮市區_臺東縣.csv
100年1季行政區離婚統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9D4549952C13C7D2&n=4A2DB40EB35F337E, 100年1季行政區離婚統計_村里_臺東縣.csv
100年1季行政區離婚統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=62B39076AFDC2E0C&n=4A2DB40EB35F337E, 100年1季行政區離婚統計_鄉鎮市區_臺東縣.csv
100年2季行政區人口消長指標統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=A882831462E15694&n=4A2DB40EB35F337E, 100年2季行政區人口消長指標統計_村里_臺東縣.csv
100年2季行政區人口消長指標統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=D49FB8C95D3D9604&n=4A2DB40EB35F337E, 100年2季行政區人口消長指標統計_鄉鎮市區_臺東縣.csv
100年2季行政區人口消長統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=6198BCEC403AB2E8&n=4A2DB40EB35F337E, 100年2季行政區人口消長統計_村里_臺東縣.csv
100年2季行政區人口消長統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=6DBB0B16B230B57E&n=4A2DB40EB35F337E, 100年2季行政區人口消長統計_鄉鎮市區_臺東縣.csv
100年2季行政區出生統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9540366F174F7284&n=4A2DB40EB35F337E, 100年2季行政區出生統計_村里_臺東縣.csv
100年2季行政區出生統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=BA417F1C2D544224&n=4A2DB40EB35F337E, 100年2季行政區出生統計_鄉鎮市區_臺東縣.csv
